cluster,n_countries,co2,energy,gdp,population,avg_co2_energy,avg_energy_gdp,avg_gdp_capita,silh_mean,%co2,%energy,%gdp,%population
0,3,51.721999999999994,70253555377.5105,73250198303.0,11707231.0,0.6566666666666667,0.9106666666666667,6413.375082472827,0.519360735474475,0.14,0.04,0.06,0.15
1,6,345.694,1784599583685.8071,399976539589.0,65181806.0,0.18633333333333332,4.41,20974.446082575978,0.4119552241314565,0.95,1.06,0.31,0.82
2,53,12390.293,70968791572786.95,60385930979275.0,1566765834.0,0.1620754716981132,1.0638113207547168,38257.459239556614,0.35898229975541396,33.97,42.32,46.35,19.81
3,42,905.279,3897771239240.6323,6972912662841.0,1744568219.0,0.2483809523809524,0.5773571428571428,3178.352133556708,0.4078208753748827,2.48,2.32,5.35,22.05
4,60,22784.722,90974898915592.92,62447874941317.0,4522341885.0,0.23168333333333332,1.3669499999999999,13899.18470031767,0.15224633837903376,62.46,54.25,47.93,57.17
